id,title,is_paid,num_subscribers,avg_rating,num_reviews,is_wishlisted,num_published_lectures,num_published_practice_tests,discount_price__amount,price_detail__amount,created_year,created_month,published_year,published_month,Rating_recent,Actual_Price
762616,The Complete SQL Bootcamp 2020: Go from Zero to Hero,True,295509,4.66019,78006,False,84,0,455.0,8640,2016,2,2016,4,5,8185.0
937678,Tableau 2020 A-Z: Hands-On Tableau Training for Data Science,True,209070,4.58956,54581,False,78,0,455.0,8640,2016,8,2016,8,5,8185.0
1361790,PMP Exam Prep Seminar -  PMBOK Guide 6,True,155282,4.59491,52653,False,292,2,455.0,8640,2017,9,2017,11,5,8185.0
648826,The Complete Financial Analyst Course 2020,True,245860,4.54407,46447,False,338,0,455.0,8640,2015,10,2016,1,5,8185.0
637930,An Entire MBA in 1 Course:Award Winning Business School Prof,True,374836,4.4708,41630,False,83,0,455.0,8640,2015,10,2016,1,4,8185.0
1208634,Microsoft Power BI - A Complete Introduction [2020 EDITION],True,124180,4.56228,38093,False,275,0,455.0,8640,2017,5,2017,5,5,8185.0
864146,Agile Crash Course: Agile Project Management; Agile Delivery,True,96207,4.32383,30470,False,23,0,455.0,8640,2016,5,2016,6,4,8185.0
321410,Beginner to Pro in Excel: Financial Modeling and Valuation,True,127680,4.54034,28665,False,275,0,455.0,8640,2014,10,2014,11,5,8185.0
673654,Become a Product Manager | Learn the Skills & Get the Job,True,112572,4.50386,27408,False,144,0,455.0,8640,2015,11,2016,3,5,8185.0
1653432,The Business Intelligence Analyst Course 2020,True,115269,4.50067,23906,False,413,0,455.0,8640,2018,4,2018,4,4,8185.0
1570206,Microsoft Power BI - Up & Running With Power BI Desktop,True,86715,4.61951,23580,False,117,0,455.0,8640,2018,2,2018,4,5,8185.0
751792,Business Analysis Fundamentals,True,82015,4.49968,23326,False,67,0,455.0,8640,2016,2,2016,2,4,8185.0
613808,Leadership: Practical Leadership Skills,True,68148,4.5687,22595,False,43,0,455.0,5760,2015,9,2015,10,5,5305.0
1288044,The Complete Foundation Stock Trading Course,True,76812,4.53878,21537,False,41,0,455.0,8640,2017,7,2017,8,5,8185.0
1405632,SQL - MySQL for Data Analytics and Business Intelligence,True,78968,4.57035,21436,False,286,0,455.0,8640,2017,10,2017,10,5,8185.0
1202988,The Complete Financial Analyst Training & Investing Course,True,182002,4.49571,21421,False,225,0,455.0,8640,2017,5,2017,8,4,8185.0
996228,The Ultimate Hands-On Hadoop - Tame your Big Data!,True,114945,4.51251,21394,False,101,0,455.0,8640,2016,10,2017,2,5,8185.0
965832,The Complete Investment Banking Course 2020,True,88468,4.49804,19970,False,160,0,455.0,8640,2016,9,2016,10,4,8185.0
560388,How to Start an Amazon FBA Store on a Tight Budget,True,72442,4.59922,19328,False,103,0,455.0,8640,2015,7,2015,11,5,8185.0
980086,Deep Learning Prerequisites: The Numpy Stack in Python (V2+),True,239309,4.47381,18322,False,47,0,455.0,1280,2016,10,2016,10,5,825.0
1035472,Python for Finance: Investment Fundamentals & Data Analytics,True,83072,4.51891,17617,False,111,0,455.0,8640,2016,12,2017,3,5,8185.0
308690,Forex Trading A-Z™ - With LIVE Examples of Forex Trading,True,67329,4.56473,17016,False,57,0,455.0,8640,2014,9,2014,12,5,8185.0
888716,"Introduction to Finance, Accounting, Modeling and Valuation",True,140676,4.4758,17013,False,61,0,500.0,9280,2016,6,2016,6,4,8780.0
946654,Write Better Emails: Tactics for Smarter Team Communication,True,50037,4.42501,15956,False,23,0,455.0,2560,2016,8,2017,4,4,2105.0
946742,Beginning Project Management: Project Management Level One,True,48055,4.43303,14255,False,44,0,455.0,4800,2016,8,2016,9,4,4345.0
1153034,The Complete Shopify Aliexpress Dropship course,True,74011,4.62899,14006,False,88,0,455.0,8640,2017,3,2017,4,5,8185.0
196152,Writing With Flair: How To Become An Exceptional Writer,True,102727,4.55248,12478,False,78,0,455.0,8640,2014,4,2014,4,5,8185.0
